Season,Team,GP,W,L,MIN,DEF_RTG,DREB,DREB%,STL,BLK,OPP_PTS_off_TOV,OPP_PTS_2nd_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2020-21,Utah Jazz,72,52,20,48.2,107.5,37.6,75.7,6.6,5.2,17.0,12.4,12.1,49.1
2020-21,Phoenix Suns,72,51,21,48.6,110.4,34.2,74.1,7.2,4.3,14.8,12.4,12.0,47.4
2020-21,Philadelphia 76ers,72,49,23,48.4,107.0,35.0,73.7,9.1,6.2,17.2,11.6,14.3,46.0
2020-21,Brooklyn Nets,72,48,24,48.3,113.1,35.5,72.6,6.7,5.3,16.1,15.3,12.1,47.8
2020-21,Denver Nuggets,72,47,25,48.6,111.5,33.9,75.1,8.1,4.5,15.6,11.3,13.4,45.2
2020-21,LA Clippers,72,47,25,48.0,110.6,34.7,75.4,7.1,4.1,15.4,11.8,11.9,47.2
2020-21,Milwaukee Bucks,72,46,26,48.1,110.7,37.8,75.5,8.1,4.6,15.9,13.0,10.7,43.1
2020-21,Dallas Mavericks,72,42,30,48.1,112.3,34.2,73.4,6.3,4.3,14.6,13.1,12.4,45.2
2020-21,Los Angeles Lakers,72,42,30,48.5,106.8,34.6,74.8,7.8,5.4,16.6,11.3,12.2,48.2
2020-21,Portland Trail Blazers,72,42,30,48.1,115.3,33.9,73.1,6.9,5.0,14.1,13.8,13.7,47.3
2020-21,Atlanta Hawks,72,41,31,48.3,112.1,35.1,74.2,7.0,4.8,15.9,13.2,11.8,48.7
2020-21,New York Knicks,72,41,31,48.4,107.8,35.5,73.8,7.0,5.1,15.0,12.2,10.5,43.8
2020-21,Miami Heat,72,40,32,48.3,110.7,33.5,73.3,7.9,4.0,16.7,12.3,10.4,41.3
2020-21,Golden State Warriors,72,39,33,48.1,109.4,35.1,72.7,8.2,4.8,17.5,14.2,13.3,47.3
2020-21,Memphis Grizzlies,72,38,34,48.3,110.5,35.3,73.6,9.1,5.1,16.6,12.4,13.7,47.5
2020-21,Boston Celtics,72,36,36,48.3,111.8,33.6,73.7,7.7,5.3,15.8,13.2,11.8,44.3
2020-21,Indiana Pacers,72,34,38,48.5,111.9,33.7,70.1,8.5,6.4,16.0,15.3,13.7,53.8
2020-21,Washington Wizards,72,34,38,48.3,112.3,35.5,73.6,7.3,4.1,17.6,13.7,10.7,48.2
2020-21,Charlotte Hornets,72,33,39,48.2,112.0,33.2,72.2,7.8,4.8,16.9,13.2,13.2,47.2
2020-21,San Antonio Spurs,72,33,39,48.6,112.0,34.6,73.3,7.0,5.1,14.3,13.3,11.9,50.1
2020-21,Chicago Bulls,72,31,41,48.3,111.5,35.3,76.7,6.7,4.2,17.8,11.6,11.7,48.9
2020-21,New Orleans Pelicans,72,31,41,48.4,113.3,35.7,75.5,7.6,4.4,18.3,11.9,13.0,46.7
2020-21,Sacramento Kings,72,31,41,48.1,116.5,32.0,71.3,7.5,5.0,17.0,14.0,12.6,53.4
2020-21,Toronto Raptors,72,27,45,48.1,112.0,32.1,71.6,8.6,5.4,15.6,13.9,11.6,42.9
2020-21,Minnesota Timberwolves,72,23,49,48.3,114.5,33.0,71.7,8.8,5.5,16.8,14.5,14.0,49.8
2020-21,Cleveland Cavaliers,72,22,50,48.4,113.5,32.3,72.9,7.8,4.5,17.9,12.1,12.9,50.6
2020-21,Oklahoma City Thunder,72,22,50,48.2,113.4,35.7,74.2,7.0,4.4,20.0,13.4,11.6,49.5
2020-21,Orlando Magic,72,21,51,48.1,113.9,35.1,74.4,6.9,4.4,15.8,11.7,14.2,47.2
2020-21,Detroit Pistons,72,20,52,48.4,112.2,33.1,72.5,7.4,5.2,17.3,13.4,11.6,51.3
2020-21,Houston Rockets,72,17,55,48.1,114.4,33.3,72.3,7.6,5.0,17.5,13.1,14.7,50.0
