,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
0,C,Nikola Jokic (20542664),Nikola Jokic,20542664,C/UTIL,11800,DEN@SAS 12/09/2021 08:30PM ET,DEN,58.24
1,C,Joel Embiid (20542666),Joel Embiid,20542666,C/UTIL,11000,UTA@PHI 12/09/2021 07:00PM ET,PHI,49.6
2,PG/SF,LeBron James (20542668),LeBron James,20542668,PG/SF/F/G/UTIL,10100,LAL@MEM 12/09/2021 08:00PM ET,LAL,47.42
3,PF/C,Anthony Davis (20542673),Anthony Davis,20542673,PF/C/F/UTIL,10000,LAL@MEM 12/09/2021 08:00PM ET,LAL,48.44
4,PG,Russell Westbrook (20542677),Russell Westbrook,20542677,PG/G/UTIL,9900,LAL@MEM 12/09/2021 08:00PM ET,LAL,45.72
5,PG,Dejounte Murray (20542680),Dejounte Murray,20542680,PG/G/UTIL,9700,DEN@SAS 12/09/2021 08:30PM ET,SAS,47.36
6,PG,Ja Morant (20542683),Ja Morant,20542683,PG/G/UTIL,9600,LAL@MEM 12/09/2021 08:00PM ET,MEM,44.5
7,PG/SG,Donovan Mitchell (20542686),Donovan Mitchell,20542686,PG/SG/G/UTIL,8800,UTA@PHI 12/09/2021 07:00PM ET,UTA,41.21
8,C,Rudy Gobert (20542690),Rudy Gobert,20542690,C/UTIL,8400,UTA@PHI 12/09/2021 07:00PM ET,UTA,40.74
9,PG/SF,Ben Simmons (20542692),Ben Simmons,20542692,PG/SF/F/G/UTIL,7800,UTA@PHI 12/09/2021 07:00PM ET,PHI,0.0
10,PF,Tobias Harris (20542697),Tobias Harris,20542697,PF/F/UTIL,7600,UTA@PHI 12/09/2021 07:00PM ET,PHI,37.0
11,SG,Jamal Murray (20542700),Jamal Murray,20542700,SG/G/UTIL,7500,DEN@SAS 12/09/2021 08:30PM ET,DEN,0.0
12,PF/C,Jaren Jackson Jr. (20542703),Jaren Jackson Jr.,20542703,PF/C/F/UTIL,7000,LAL@MEM 12/09/2021 08:00PM ET,MEM,30.62
13,PG/SG,Desmond Bane (20542707),Desmond Bane,20542707,PG/SG/G/UTIL,6900,LAL@MEM 12/09/2021 08:00PM ET,MEM,27.62
14,SG/SF,Will Barton (20542711),Will Barton,20542711,SG/SF/F/G/UTIL,6800,DEN@SAS 12/09/2021 08:30PM ET,DEN,32.09
15,PG,Tyrese Maxey (20542716),Tyrese Maxey,20542716,PG/G/UTIL,6600,UTA@PHI 12/09/2021 07:00PM ET,PHI,31.15
16,C,Jakob Poeltl (20542719),Jakob Poeltl,20542719,C/UTIL,6400,DEN@SAS 12/09/2021 08:30PM ET,SAS,31.61
17,PG/SG,Derrick White (20542721),Derrick White,20542721,PG/SG/G/UTIL,6300,DEN@SAS 12/09/2021 08:30PM ET,SAS,29.59
18,SF,Dillon Brooks (20542725),Dillon Brooks,20542725,SF/F/UTIL,6200,LAL@MEM 12/09/2021 08:00PM ET,MEM,28.21
19,SF/PF,Aaron Gordon (20542728),Aaron Gordon,20542728,SF/PF/F/UTIL,6100,DEN@SAS 12/09/2021 08:30PM ET,DEN,26.86
20,PG,Tyus Jones (20542732),Tyus Jones,20542732,PG/G/UTIL,6000,LAL@MEM 12/09/2021 08:00PM ET,MEM,18.13
21,PF,Keldon Johnson (20542735),Keldon Johnson,20542735,PF/F/UTIL,5900,DEN@SAS 12/09/2021 08:30PM ET,SAS,27.51
22,PG,Mike Conley (20542738),Mike Conley,20542738,PG/G/UTIL,5800,UTA@PHI 12/09/2021 07:00PM ET,UTA,28.01
23,PF,Michael Porter Jr. (20542741),Michael Porter Jr.,20542741,PF/F/UTIL,5700,DEN@SAS 12/09/2021 08:30PM ET,DEN,23.64
24,SG,Seth Curry (20542744),Seth Curry,20542744,SG/G/UTIL,5600,UTA@PHI 12/09/2021 07:00PM ET,PHI,26.44
25,SG/SF,Talen Horton-Tucker (20542747),Talen Horton-Tucker,20542747,SG/SF/F/G/UTIL,5500,LAL@MEM 12/09/2021 08:00PM ET,LAL,24.42
26,PG/SG,Monte Morris (20542752),Monte Morris,20542752,PG/SG/G/UTIL,5400,DEN@SAS 12/09/2021 08:30PM ET,DEN,23.76
27,SF/PF,Bojan Bogdanovic (20542756),Bojan Bogdanovic,20542756,SF/PF/F/UTIL,5300,UTA@PHI 12/09/2021 07:00PM ET,UTA,26.36
28,C,Andre Drummond (20542760),Andre Drummond,20542760,C/UTIL,5200,UTA@PHI 12/09/2021 07:00PM ET,PHI,25.75
29,C,Steven Adams (20542762),Steven Adams,20542762,C/UTIL,5100,LAL@MEM 12/09/2021 08:00PM ET,MEM,24.44
30,PG/SG,Shake Milton (20542764),Shake Milton,20542764,PG/SG/G/UTIL,5000,UTA@PHI 12/09/2021 07:00PM ET,PHI,21.89
31,PG/SG,Jordan Clarkson (20542768),Jordan Clarkson,20542768,PG/SG/G/UTIL,4900,UTA@PHI 12/09/2021 07:00PM ET,UTA,24.25
32,SF/PF,Jeff Green (20542772),Jeff Green,20542772,SF/PF/F/UTIL,4800,DEN@SAS 12/09/2021 08:30PM ET,DEN,16.98
33,SG,Malik Monk (20542776),Malik Monk,20542776,SG/G/UTIL,4700,LAL@MEM 12/09/2021 08:00PM ET,LAL,19.1
34,PG/SG,De'Anthony Melton (20542779),De'Anthony Melton,20542779,PG/SG/G/UTIL,4600,LAL@MEM 12/09/2021 08:00PM ET,MEM,23.84
35,PF,Carmelo Anthony (20542783),Carmelo Anthony,20542783,PF/F/UTIL,4500,LAL@MEM 12/09/2021 08:00PM ET,LAL,23.84
36,C,Dwight Howard (20542786),Dwight Howard,20542786,C/UTIL,4400,LAL@MEM 12/09/2021 08:00PM ET,LAL,15.28
37,PF,Royce O'Neale (20542788),Royce O'Neale,20542788,PF/F/UTIL,4300,UTA@PHI 12/09/2021 07:00PM ET,UTA,23.0
38,SF,Doug McDermott (20542791),Doug McDermott,20542791,SF/F/UTIL,4200,DEN@SAS 12/09/2021 08:30PM ET,SAS,17.64
39,SF/PF,Devin Vassell (20542794),Devin Vassell,20542794,SF/PF/F/UTIL,4100,DEN@SAS 12/09/2021 08:30PM ET,SAS,22.5
40,SF/PF,Kyle Anderson (20542798),Kyle Anderson,20542798,SF/PF/F/UTIL,4000,LAL@MEM 12/09/2021 08:00PM ET,MEM,20.6
41,SF/PF,Rudy Gay (20542802),Rudy Gay,20542802,SF/PF/F/UTIL,3900,UTA@PHI 12/09/2021 07:00PM ET,UTA,20.55
42,SG/SF,Joe Ingles (20542806),Joe Ingles,20542806,SG/SF/F/G/UTIL,3900,UTA@PHI 12/09/2021 07:00PM ET,UTA,18.49
43,SG,Kendrick Nunn (20542818),Kendrick Nunn,20542818,SG/G/UTIL,3800,LAL@MEM 12/09/2021 08:00PM ET,LAL,0.0
44,SF/PF,Georges Niang (20542814),Georges Niang,20542814,SF/PF/F/UTIL,3800,UTA@PHI 12/09/2021 07:00PM ET,PHI,19.16
45,PG,Facundo Campazzo (20542811),Facundo Campazzo,20542811,PG/G/UTIL,3800,DEN@SAS 12/09/2021 08:30PM ET,DEN,13.97
46,PF/C,Brandon Clarke (20542821),Brandon Clarke,20542821,PF/C/F/UTIL,3700,LAL@MEM 12/09/2021 08:00PM ET,MEM,17.59
47,SG/SF,Wayne Ellington (20542825),Wayne Ellington,20542825,SG/SF/F/G/UTIL,3700,LAL@MEM 12/09/2021 08:00PM ET,LAL,11.28
48,SG/SF,Lonnie Walker IV (20542830),Lonnie Walker IV,20542830,SG/SF/F/G/UTIL,3700,DEN@SAS 12/09/2021 08:30PM ET,SAS,19.41
49,PF/C,Xavier Tillman (20542835),Xavier Tillman,20542835,PF/C/F/UTIL,3600,LAL@MEM 12/09/2021 08:00PM ET,MEM,13.28
50,C,DeAndre Jordan (20542847),DeAndre Jordan,20542847,C/UTIL,3500,LAL@MEM 12/09/2021 08:00PM ET,LAL,14.9
51,PG/SF,John Konchar (20542849),John Konchar,20542849,PG/SF/F/G/UTIL,3500,LAL@MEM 12/09/2021 08:00PM ET,MEM,12.15
52,PF/C,Zeke Nnaji (20542839),Zeke Nnaji,20542839,PF/C/F/UTIL,3500,DEN@SAS 12/09/2021 08:30PM ET,DEN,12.83
53,PG/SG,Bones Hyland (20542843),Bones Hyland,20542843,PG/SG/G/UTIL,3500,DEN@SAS 12/09/2021 08:30PM ET,DEN,14.98
54,PF/C,JaMychal Green (20542854),JaMychal Green,20542854,PF/C/F/UTIL,3400,DEN@SAS 12/09/2021 08:30PM ET,DEN,13.52
55,SG/SF,Davon Reed (20542858),Davon Reed,20542858,SG/SF/F/G/UTIL,3400,DEN@SAS 12/09/2021 08:30PM ET,DEN,13.25
56,SG,Bryn Forbes (20542863),Bryn Forbes,20542863,SG/G/UTIL,3400,DEN@SAS 12/09/2021 08:30PM ET,SAS,10.8
57,SG,Avery Bradley (20542882),Avery Bradley,20542882,SG/G/UTIL,3300,LAL@MEM 12/09/2021 08:00PM ET,LAL,11.14
58,SF,Danny Green (20542866),Danny Green,20542866,SF/F/UTIL,3300,UTA@PHI 12/09/2021 07:00PM ET,PHI,17.82
59,C,Hassan Whiteside (20542873),Hassan Whiteside,20542873,C/UTIL,3300,UTA@PHI 12/09/2021 07:00PM ET,UTA,17.73
60,SG,Isaiah Joe (20542875),Isaiah Joe,20542875,SG/G/UTIL,3300,UTA@PHI 12/09/2021 07:00PM ET,PHI,6.8
61,PF/C,Thaddeus Young (20542869),Thaddeus Young,20542869,PF/C/F/UTIL,3300,DEN@SAS 12/09/2021 08:30PM ET,SAS,17.01
62,SF/PF,Keita Bates-Diop (20542878),Keita Bates-Diop,20542878,SF/PF/F/UTIL,3300,DEN@SAS 12/09/2021 08:30PM ET,SAS,9.26
63,PG,Rajon Rondo (20542885),Rajon Rondo,20542885,PG/G/UTIL,3200,LAL@MEM 12/09/2021 08:00PM ET,LAL,13.18
64,PF/C,Santi Aldama (20542892),Santi Aldama,20542892,PF/C/F/UTIL,3200,LAL@MEM 12/09/2021 08:00PM ET,MEM,9.43
65,SF/PF,Matisse Thybulle (20542888),Matisse Thybulle,20542888,SF/PF/F/UTIL,3200,UTA@PHI 12/09/2021 07:00PM ET,PHI,16.24
66,C,Jock Landale (20542896),Jock Landale,20542896,C/UTIL,3200,DEN@SAS 12/09/2021 08:30PM ET,SAS,3.5
67,SG/SF,Jarrett Culver (20542903),Jarrett Culver,20542903,SG/SF/F/G/UTIL,3100,LAL@MEM 12/09/2021 08:00PM ET,MEM,8.97
68,SG/SF,Furkan Korkmaz (20542898),Furkan Korkmaz,20542898,SG/SF/F/G/UTIL,3100,UTA@PHI 12/09/2021 07:00PM ET,PHI,17.97
69,SG,Joshua Primo (20542908),Joshua Primo,20542908,SG/G/UTIL,3100,DEN@SAS 12/09/2021 08:30PM ET,SAS,6.5
70,C,Marc Gasol (20542911),Marc Gasol,20542911,C/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
71,PG,Frank Mason III (20542913),Frank Mason III,20542913,PG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,LAL,0.0
72,PG,Shaq Buchanan (20542931),Shaq Buchanan,20542931,PG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
73,SF,Yves Pons (20542934),Yves Pons,20542934,SF/F/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.62
74,SG,Sean McDermott (20542937),Sean McDermott,20542937,SG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
75,PF,Kostas Antetokounmpo (20542952),Kostas Antetokounmpo,20542952,PF/F/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,LAL,0.0
76,PG/SG,Austin Reaves (20542955),Austin Reaves,20542955,PG/SG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,LAL,9.11
77,PG,Tim Frazier (20542982),Tim Frazier,20542982,PG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
78,PG,Kris Dunn (20542985),Kris Dunn,20542985,PG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
79,PG,David Stockton (20542988),David Stockton,20542988,PG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
80,SF/PF,Romeo Weems (20542991),Romeo Weems,20542991,SF/PF/F/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
81,SF/PF,Matthew Hurt (20542995),Matthew Hurt,20542995,SF/PF/F/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
82,PG,Carsen Edwards (20542999),Carsen Edwards,20542999,PG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
83,SG,Ahmad Caver (20543002),Ahmad Caver,20543002,SG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,0.0
84,PF/C,Killian Tillie (20543005),Killian Tillie,20543005,PF/C/F/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,6.07
85,SG/SF,Ziaire Williams (20543009),Ziaire Williams,20543009,SG/SF/F/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,9.13
86,SG,Sam Merrill (20543014),Sam Merrill,20543014,SG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,MEM,7.04
87,SF,Kent Bazemore (20543068),Kent Bazemore,20543068,SF/F/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,LAL,10.43
88,SF,Alfonzo McKinnie (20543071),Alfonzo McKinnie,20543071,SF/F/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,LAL,0.0
89,PG/SG,Trevelin Queen (20543074),Trevelin Queen,20543074,PG/SG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,LAL,0.0
90,SF,Cameron Oliver (20543078),Cameron Oliver,20543078,SF/F/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,LAL,0.0
91,PG/SG,Mac McClung (20543081),Mac McClung,20543081,PG/SG/G/UTIL,3000,LAL@MEM 12/09/2021 08:00PM ET,LAL,0.0
