Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
C,Nikola Jokic (20779495),Nikola Jokic,20779495,C/UTIL,12400,DEN@GSW 12/28/2021 10:00PM ET,DEN,59.19
C,Joel Embiid (20779497),Joel Embiid,20779497,C/UTIL,12100,PHI@TOR 12/28/2021 07:30PM ET,PHI,50.57
PF/C,Giannis Antetokounmpo (20779499),Giannis Antetokounmpo,20779499,PF/C/F/UTIL,11900,MIL@ORL 12/28/2021 07:00PM ET,MIL,55.81
PG,Stephen Curry (20779503),Stephen Curry,20779503,PG/G/UTIL,11500,DEN@GSW 12/28/2021 10:00PM ET,GSW,49.10
PF,LeBron James (20779506),LeBron James,20779506,PF/F/UTIL,11300,LAL@HOU 12/28/2021 08:00PM ET,LAL,51.52
C,Karl-Anthony Towns (20779509),Karl-Anthony Towns,20779509,C/UTIL,10800,NYK@MIN 12/28/2021 08:00PM ET,MIN,45.77
PF/C,Julius Randle (20779511),Julius Randle,20779511,PF/C/F/UTIL,10500,NYK@MIN 12/28/2021 08:00PM ET,NYK,42.36
PG/SG,Bradley Beal (20779515),Bradley Beal,20779515,PG/SG/G/UTIL,10400,WAS@MIA 12/28/2021 07:30PM ET,WAS,39.32
C,Jarrett Allen (20779519),Jarrett Allen,20779519,C/UTIL,10300,CLE@NOP 12/28/2021 08:00PM ET,CLE,37.66
PG,Russell Westbrook (20779521),Russell Westbrook,20779521,PG/G/UTIL,10200,LAL@HOU 12/28/2021 08:00PM ET,LAL,44.02
SG/SF,Brandon Ingram (20779524),Brandon Ingram,20779524,SG/SF/F/G/UTIL,10100,CLE@NOP 12/28/2021 08:00PM ET,NOP,39.31
C,Anthony Davis (20779529),Anthony Davis,20779529,C/UTIL,10000,LAL@HOU 12/28/2021 08:00PM ET,LAL,46.18
PG/SG,Darius Garland (20779531),Darius Garland,20779531,PG/SG/G/UTIL,9900,CLE@NOP 12/28/2021 08:00PM ET,CLE,36.94
PG/SG,Fred VanVleet (20779535),Fred VanVleet,20779535,PG/SG/G/UTIL,9800,PHI@TOR 12/28/2021 07:30PM ET,TOR,41.18
C,Jonas Valanciunas (20779539),Jonas Valanciunas,20779539,C/UTIL,9700,CLE@NOP 12/28/2021 08:00PM ET,NOP,40.90
C,Zion Williamson (20779541),Zion Williamson,20779541,C/UTIL,9600,CLE@NOP 12/28/2021 08:00PM ET,NOP,0
PG,Shai Gilgeous-Alexander (20779543),Shai Gilgeous-Alexander,20779543,PG/G/UTIL,9500,OKC@SAC 12/28/2021 10:00PM ET,OKC,39.58
C,Pascal Siakam (20779546),Pascal Siakam,20779546,C/UTIL,9400,PHI@TOR 12/28/2021 07:30PM ET,TOR,36.90
SF,Jimmy Butler (20779548),Jimmy Butler,20779548,SF/F/UTIL,9300,WAS@MIA 12/28/2021 07:30PM ET,MIA,42.51
PG,Jrue Holiday (20779551),Jrue Holiday,20779551,PG/G/UTIL,9200,MIL@ORL 12/28/2021 07:00PM ET,MIL,36.94
C,Bam Adebayo (20779554),Bam Adebayo,20779554,C/UTIL,9100,WAS@MIA 12/28/2021 07:30PM ET,MIA,38.35
PF,Tobias Harris (20779556),Tobias Harris,20779556,PF/F/UTIL,9000,PHI@TOR 12/28/2021 07:30PM ET,PHI,35.48
PG/SG,Tyrese Haliburton (20779559),Tyrese Haliburton,20779559,PG/SG/G/UTIL,8900,OKC@SAC 12/28/2021 10:00PM ET,SAC,33.43
PG,Ben Simmons (20779563),Ben Simmons,20779563,PG/G/UTIL,8800,PHI@TOR 12/28/2021 07:30PM ET,PHI,0
PG,Kyle Lowry (20779566),Kyle Lowry,20779566,PG/G/UTIL,8700,WAS@MIA 12/28/2021 07:30PM ET,MIA,34.84
SF/PF,Scottie Barnes (20779569),Scottie Barnes,20779569,SF/PF/F/UTIL,8600,PHI@TOR 12/28/2021 07:30PM ET,TOR,34.88
C,Christian Wood (20779573),Christian Wood,20779573,C/UTIL,8500,LAL@HOU 12/28/2021 08:00PM ET,HOU,37.56
PG,Cole Anthony (20779575),Cole Anthony,20779575,PG/G/UTIL,8400,MIL@ORL 12/28/2021 07:00PM ET,ORL,38.53
PG/SG,D'Angelo Russell (20779578),D'Angelo Russell,20779578,PG/SG/G/UTIL,8300,NYK@MIN 12/28/2021 08:00PM ET,MIN,37.10
SG/SF,Khris Middleton (20779582),Khris Middleton,20779582,SG/SF/F/G/UTIL,8200,MIL@ORL 12/28/2021 07:00PM ET,MIL,34.91
PF/C,Evan Mobley (20779587),Evan Mobley,20779587,PF/C/F/UTIL,8100,CLE@NOP 12/28/2021 08:00PM ET,CLE,33.28
PG,De'Aaron Fox (20779595),De'Aaron Fox,20779595,PG/G/UTIL,8000,OKC@SAC 12/28/2021 10:00PM ET,SAC,35.72
PF/C,Wendell Carter Jr. (20779591),Wendell Carter Jr.,20779591,PF/C/F/UTIL,8000,MIL@ORL 12/28/2021 07:00PM ET,ORL,32.19
C,Bobby Portis (20779602),Bobby Portis,20779602,C/UTIL,7900,MIL@ORL 12/28/2021 07:00PM ET,MIL,33.62
SF/PF,OG Anunoby (20779598),OG Anunoby,20779598,SF/PF/F/UTIL,7900,PHI@TOR 12/28/2021 07:30PM ET,TOR,34.59
PG,John Wall (20779604),John Wall,20779604,PG/G/UTIL,7800,LAL@HOU 12/28/2021 08:00PM ET,HOU,0
SG/SF,Anthony Edwards (20779607),Anthony Edwards,20779607,SG/SF/F/G/UTIL,7800,NYK@MIN 12/28/2021 08:00PM ET,MIN,39.31
PG,Kevin Porter Jr. (20779612),Kevin Porter Jr.,20779612,PG/G/UTIL,7700,LAL@HOU 12/28/2021 08:00PM ET,HOU,29.45
SF,Josh Giddey (20779615),Josh Giddey,20779615,SF/F/UTIL,7600,OKC@SAC 12/28/2021 10:00PM ET,OKC,31.25
PF/C,Draymond Green (20779618),Draymond Green,20779618,PF/C/F/UTIL,7500,DEN@GSW 12/28/2021 10:00PM ET,GSW,33.60
SG,Jamal Murray (20779622),Jamal Murray,20779622,SG/G/UTIL,7400,DEN@GSW 12/28/2021 10:00PM ET,DEN,0
SF/PF,Josh Hart (20779625),Josh Hart,20779625,SF/PF/F/UTIL,7300,CLE@NOP 12/28/2021 08:00PM ET,NOP,30.59
SF/PF,Franz Wagner (20779629),Franz Wagner,20779629,SF/PF/F/UTIL,7200,MIL@ORL 12/28/2021 07:00PM ET,ORL,28.04
SF/PF,Harrison Barnes (20779633),Harrison Barnes,20779633,SF/PF/F/UTIL,7100,OKC@SAC 12/28/2021 10:00PM ET,SAC,31.31
PG/SG,Alec Burks (20779637),Alec Burks,20779637,PG/SG/G/UTIL,7100,NYK@MIN 12/28/2021 08:00PM ET,NYK,23.37
PG,Derrick Rose (20779641),Derrick Rose,20779641,PG/G/UTIL,7000,NYK@MIN 12/28/2021 08:00PM ET,NYK,24.23
SG/SF,Buddy Hield (20779647),Buddy Hield,20779647,SG/SF/F/G/UTIL,6900,OKC@SAC 12/28/2021 10:00PM ET,SAC,27.08
PG,Kemba Walker (20779644),Kemba Walker,20779644,PG/G/UTIL,6900,NYK@MIN 12/28/2021 08:00PM ET,NYK,27.51
SG/SF,Andrew Wiggins (20779656),Andrew Wiggins,20779656,SG/SF/F/G/UTIL,6800,DEN@GSW 12/28/2021 10:00PM ET,GSW,30.18
PG/SG,Tyler Herro (20779652),Tyler Herro,20779652,PG/SG/G/UTIL,6800,WAS@MIA 12/28/2021 07:30PM ET,MIA,33.38
PG,Spencer Dinwiddie (20779661),Spencer Dinwiddie,20779661,PG/G/UTIL,6800,WAS@MIA 12/28/2021 07:30PM ET,WAS,28.47
SF/PF,Kyle Kuzma (20779664),Kyle Kuzma,20779664,SF/PF/F/UTIL,6700,WAS@MIA 12/28/2021 07:30PM ET,WAS,30.10
PF/C,Kevin Love (20779668),Kevin Love,20779668,PF/C/F/UTIL,6700,CLE@NOP 12/28/2021 08:00PM ET,CLE,26.97
PG/SG,Jordan Poole (20779672),Jordan Poole,20779672,PG/SG/G/UTIL,6600,DEN@GSW 12/28/2021 10:00PM ET,GSW,29.88
SG,Klay Thompson (20779681),Klay Thompson,20779681,SG/G/UTIL,6500,DEN@GSW 12/28/2021 10:00PM ET,GSW,0
C,Andre Drummond (20779676),Andre Drummond,20779676,C/UTIL,6500,PHI@TOR 12/28/2021 07:30PM ET,PHI,24.18
SG,Seth Curry (20779678),Seth Curry,20779678,SG/G/UTIL,6500,PHI@TOR 12/28/2021 07:30PM ET,PHI,27.08
PG,Ricky Rubio (20779687),Ricky Rubio,20779687,PG/G/UTIL,6400,CLE@NOP 12/28/2021 08:00PM ET,CLE,30.17
PG,Tyrese Maxey (20779684),Tyrese Maxey,20779684,PG/G/UTIL,6400,PHI@TOR 12/28/2021 07:30PM ET,PHI,30.65
C,Mo Bamba (20779690),Mo Bamba,20779690,C/UTIL,6300,MIL@ORL 12/28/2021 07:00PM ET,ORL,30.07
PF/C,Chris Boucher (20779692),Chris Boucher,20779692,PF/C/F/UTIL,6200,PHI@TOR 12/28/2021 07:30PM ET,TOR,16.78
SG,Gary Trent Jr. (20779696),Gary Trent Jr.,20779696,SG/G/UTIL,6100,PHI@TOR 12/28/2021 07:30PM ET,TOR,29.46
SG,Will Barton (20779702),Will Barton,20779702,SG/G/UTIL,6000,DEN@GSW 12/28/2021 10:00PM ET,DEN,30.66
PG,Devonte' Graham (20779699),Devonte' Graham,20779699,PG/G/UTIL,6000,CLE@NOP 12/28/2021 08:00PM ET,NOP,27.35
PF,Chimezie Metu (20779705),Chimezie Metu,20779705,PF/F/UTIL,5900,OKC@SAC 12/28/2021 10:00PM ET,SAC,22.68
SG/SF,Evan Fournier (20779708),Evan Fournier,20779708,SG/SF/F/G/UTIL,5900,NYK@MIN 12/28/2021 08:00PM ET,NYK,22.26
SF/PF,Lauri Markkanen (20779713),Lauri Markkanen,20779713,SF/PF/F/UTIL,5900,CLE@NOP 12/28/2021 08:00PM ET,CLE,25.14
SF,Talen Horton-Tucker (20779717),Talen Horton-Tucker,20779717,SF/F/UTIL,5800,LAL@HOU 12/28/2021 08:00PM ET,LAL,23.31
PF,Jae'Sean Tate (20779720),Jae'Sean Tate,20779720,PF/F/UTIL,5700,LAL@HOU 12/28/2021 08:00PM ET,HOU,26.64
PG,Gabe Vincent (20779726),Gabe Vincent,20779726,PG/G/UTIL,5700,WAS@MIA 12/28/2021 07:30PM ET,MIA,17.5
SF,RJ Barrett (20779723),RJ Barrett,20779723,SF/F/UTIL,5700,NYK@MIN 12/28/2021 08:00PM ET,NYK,26.67
SF/PF,Aaron Gordon (20779733),Aaron Gordon,20779733,SF/PF/F/UTIL,5600,DEN@GSW 12/28/2021 10:00PM ET,DEN,26.72
