Date,Season,Player,Team,Match-up,Home/Away,W/L,Min,Pts,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,Dub/Dub,Trip/Dub,OPP_DEF_RTG,OPP_DREB%,OPP_STL,OPP_BLK,OPP_PTS_off_TOV,OPP_PTS_2nd_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DK_SCORE
2021-11-24,2021-22,Isaiah Joe,PHI,Golden State Warriors,1,0,15,8,3,6,2,5,0,0,2,1,3,0,0,0,1,0,-17,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,12.25
2021-11-24,2021-22,Georges Niang,PHI,Golden State Warriors,1,0,26,9,4,11,1,3,0,0,1,3,4,2,0,0,3,6,-10,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,16.0
2021-11-24,2021-22,Matisse Thybulle,PHI,Golden State Warriors,1,0,33,7,3,5,1,3,0,0,0,5,5,2,3,2,3,2,-11,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,25.25
2021-11-24,2021-22,Shake Milton,PHI,Golden State Warriors,1,0,24,9,3,7,1,3,2,2,1,3,4,4,1,2,1,0,-16,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,26.0
2021-11-24,2021-22,Danny Green,PHI,Golden State Warriors,1,0,17,10,4,5,2,3,0,0,0,2,2,1,4,1,2,1,10,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,24.0
2021-11-24,2021-22,Charles Bassey,PHI,Golden State Warriors,1,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,-5,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,0.75
2021-11-24,2021-22,Paul Reed,PHI,Golden State Warriors,1,0,2,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,-4,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,3.25
2021-11-24,2021-22,Tyrese Maxey,PHI,Golden State Warriors,1,0,33,19,5,15,0,1,9,10,0,3,3,5,0,1,2,2,-9,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,31.25
2021-11-24,2021-22,Seth Curry,PHI,Golden State Warriors,1,0,33,24,8,16,0,5,8,8,0,1,1,0,2,0,1,4,-9,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,28.75
2021-11-24,2021-22,Andre Drummond,PHI,Golden State Warriors,1,0,27,1,0,5,0,0,1,2,3,9,12,2,0,0,5,4,-12,0,0,99.7,74.7,9.7,4.9,17.8,11.7,11.5,39.7,16.5
