Player,Team,Match-up,Date,W/L,Min,Pts,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
Willy Hernangomez,NOP,vs.LAL,05/16/2021,L,30,19,8,11,72.7,0,0,-,3,5,60.0,4,9,13,1,0,2,2,4,-16
James Nunnally,NOP,vs.LAL,05/16/2021,L,6,0,0,0,-,0,0,-,0,0,-,0,1,1,0,0,0,1,0,2
Wesley Matthews,LAL,@NOP,05/16/2021,W,11,8,3,6,50.0,2,5,40.0,0,0,-,0,0,0,0,2,0,1,0,1
Anthony Davis,LAL,@NOP,05/16/2021,W,30,14,5,12,41.7,0,3,0.0,4,6,66.7,0,5,5,1,1,0,1,0,12
Marc Gasol,LAL,@NOP,05/16/2021,W,27,3,1,4,25.0,1,3,33.3,0,0,-,1,6,7,4,1,2,1,2,13
Andre Drummond,LAL,@NOP,05/16/2021,W,21,13,6,11,54.5,0,0,-,1,3,33.3,5,8,13,0,2,2,2,5,-1
Nickeil Alexander-Walker,NOP,vs.LAL,05/16/2021,L,37,14,5,15,33.3,2,8,25.0,2,2,100,1,3,4,5,1,0,4,0,-2
Kentavious Caldwell-Pope,LAL,@NOP,05/16/2021,W,27,10,4,8,50.0,2,6,33.3,0,0,-,0,1,1,6,1,0,0,3,17
James Johnson,NOP,vs.LAL,05/16/2021,L,26,8,4,11,36.4,0,2,0.0,0,3,0.0,1,3,4,3,0,0,2,4,-16
Ben McLemore,LAL,@NOP,05/16/2021,W,1,0,0,0,-,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
Dennis Schroder,LAL,@NOP,05/16/2021,W,29,12,5,11,45.5,2,6,33.3,0,0,-,0,3,3,4,2,0,0,3,-1
Alex Caruso,LAL,@NOP,05/16/2021,W,19,9,4,8,50.0,1,4,25.0,0,0,-,1,2,3,5,0,1,1,2,13
LeBron James,LAL,@NOP,05/16/2021,W,27,25,11,22,50.0,2,5,40.0,1,2,50.0,1,0,1,6,3,0,2,0,-2
Wenyen Gabriel,NOP,vs.LAL,05/16/2021,L,20,4,1,4,25.0,0,2,0.0,2,2,100,0,4,4,0,0,1,0,6,4
Jaxson Hayes,NOP,vs.LAL,05/16/2021,L,20,10,4,7,57.1,0,0,-,2,2,100,2,5,7,3,1,0,0,2,4
Didi Louzada,NOP,vs.LAL,05/16/2021,L,19,0,0,2,0.0,0,1,0.0,0,0,-,0,1,1,1,0,0,3,1,-16
Kyle Kuzma,LAL,@NOP,05/16/2021,W,27,8,3,5,60.0,0,0,-,2,2,100,0,6,6,3,0,0,0,0,7
Talen Horton-Tucker,LAL,@NOP,05/16/2021,W,14,6,2,6,33.3,1,2,50.0,1,2,50.0,0,1,1,1,2,0,1,1,0
Alfonzo McKinnie,LAL,@NOP,05/16/2021,W,1,2,1,1,100,0,0,-,0,0,-,0,0,0,0,0,0,0,0,1
Kira Lewis Jr.,NOP,vs.LAL,05/16/2021,L,26,12,4,6,66.7,1,2,50.0,3,3,100,0,3,3,4,1,0,2,0,0
Eric Bledsoe,NOP,vs.LAL,05/16/2021,L,22,13,5,9,55.6,2,4,50.0,1,2,50.0,0,4,4,2,0,2,0,0,-12
Jared Dudley,LAL,@NOP,05/16/2021,W,4,0,0,2,0.0,0,1,0.0,0,0,-,0,2,2,0,0,0,0,0,-1
Naji Marshall,NOP,vs.LAL,05/16/2021,L,35,18,6,13,46.2,4,6,66.7,2,2,100,0,6,6,7,1,0,7,1,-8
Tony Bradley,OKC,vs.LAC,05/16/2021,W,14,8,4,5,80.0,0,0,-,0,0,-,2,5,7,1,0,2,0,0,8
Charlie Brown Jr.,OKC,vs.LAC,05/16/2021,W,31,7,2,10,20.0,0,4,0.0,3,4,75.0,2,1,3,2,0,1,1,2,-8
