date,start_et,team_away,pts_away,team_home,pts_home,overtime,n_attending,notes
2019-11-01,7:00p,Houston Rockets,116,Brooklyn Nets,123,,17732.0,
2019-11-01,7:00p,Cleveland Cavaliers,95,Indiana Pacers,102,,16079.0,
2019-11-01,7:00p,Milwaukee Bucks,123,Orlando Magic,91,,15105.0,
2019-11-01,7:30p,New York Knicks,102,Boston Celtics,104,,18624.0,
2019-11-01,8:00p,Detroit Pistons,106,Chicago Bulls,112,,20671.0,
2019-11-01,9:30p,Los Angeles Lakers,119,Dallas Mavericks,110,OT,20358.0,
2019-11-01,10:00p,Utah Jazz,101,Sacramento Kings,102,,16273.0,
2019-11-01,10:30p,San Antonio Spurs,127,Golden State Warriors,110,,18064.0,
2019-11-02,10:00p,Philadelphia 76ers,129,Portland Trail Blazers,128,,19669.0,
2019-11-02,8:00p,Minnesota Timberwolves,131,Washington Wizards,109,,15150.0,
2019-11-02,8:00p,Toronto Raptors,105,Milwaukee Bucks,115,,17637.0,
2019-11-02,8:30p,Charlotte Hornets,93,Golden State Warriors,87,,18064.0,
2019-11-02,7:00p,Denver Nuggets,91,Orlando Magic,87,,17025.0,
2019-11-02,7:00p,Brooklyn Nets,109,Detroit Pistons,113,,17222.0,
2019-11-02,5:00p,New Orleans Pelicans,104,Oklahoma City Thunder,115,,18203.0,
2019-11-02,8:00p,Phoenix Suns,114,Memphis Grizzlies,105,,14144.0,
2019-11-03,9:00p,Utah Jazz,94,Los Angeles Clippers,105,,19068.0,
2019-11-03,7:00p,Los Angeles Lakers,103,San Antonio Spurs,96,,18610.0,
2019-11-03,7:30p,Dallas Mavericks,131,Cleveland Cavaliers,111,,18078.0,
2019-11-03,6:00p,Houston Rockets,100,Miami Heat,129,,19724.0,
2019-11-03,5:00p,Chicago Bulls,95,Indiana Pacers,108,,17073.0,
2019-11-03,6:00p,Sacramento Kings,113,New York Knicks,92,,19812.0,
2019-11-04,7:00p,Detroit Pistons,99,Washington Wizards,115,,13052.0,
2019-11-04,7:30p,New Orleans Pelicans,125,Brooklyn Nets,135,,17194.0,
2019-11-04,8:00p,Houston Rockets,107,Memphis Grizzlies,100,,14197.0,
2019-11-04,8:00p,Milwaukee Bucks,134,Minnesota Timberwolves,106,,16271.0,
2019-11-04,9:00p,Philadelphia 76ers,109,Phoenix Suns,114,,14285.0,
2019-11-04,10:30p,Portland Trail Blazers,118,Golden State Warriors,127,,18064.0,
2019-11-05,8:00p,Orlando Magic,94,Oklahoma City Thunder,102,,18203.0,
2019-11-05,8:00p,Los Angeles Lakers,118,Chicago Bulls,112,,21193.0,
2019-11-05,9:00p,Miami Heat,89,Denver Nuggets,109,,18010.0,
2019-11-05,7:00p,Boston Celtics,119,Cleveland Cavaliers,113,,17709.0,
2019-11-05,7:00p,Indiana Pacers,120,Charlotte Hornets,122,OT,13341.0,
2019-11-05,7:30p,San Antonio Spurs,100,Atlanta Hawks,108,,14025.0,
2019-11-06,10:00p,Milwaukee Bucks,129,Los Angeles Clippers,124,,19068.0,
2019-11-06,8:30p,Orlando Magic,106,Dallas Mavericks,107,,19487.0,
2019-11-06,8:00p,Minnesota Timberwolves,121,Memphis Grizzlies,137,,13503.0,
2019-11-06,7:30p,Sacramento Kings,120,Toronto Raptors,124,,19800.0,
2019-11-06,9:00p,Philadelphia 76ers,104,Utah Jazz,106,,18306.0,
2019-11-06,7:30p,Chicago Bulls,113,Atlanta Hawks,93,,15049.0,
2019-11-06,7:00p,Washington Wizards,106,Indiana Pacers,121,,16171.0,
2019-11-06,7:00p,New York Knicks,102,Detroit Pistons,122,,15463.0,
2019-11-06,7:30p,Golden State Warriors,112,Houston Rockets,129,,18055.0,
2019-11-07,8:00p,Boston Celtics,108,Charlotte Hornets,87,,18487.0,
2019-11-07,8:30p,Oklahoma City Thunder,112,San Antonio Spurs,121,,18354.0,
2019-11-07,9:00p,Miami Heat,124,Phoenix Suns,108,,15498.0,
2019-11-07,10:30p,Portland Trail Blazers,101,Los Angeles Clippers,107,,19068.0,
2019-11-08,9:00p,Philadelphia 76ers,97,Denver Nuggets,100,,19520.0,
2019-11-08,10:00p,Brooklyn Nets,119,Portland Trail Blazers,115,,20089.0,
2019-11-08,10:30p,Miami Heat,80,Los Angeles Lakers,95,,18997.0,
