season_day,date,n_teams,n_teams_early,n_teams_night
1,2018-10-16,4,0,4
2,2018-10-17,22,0,22
3,2018-10-18,6,0,6
4,2018-10-19,18,0,18
5,2018-10-20,20,0,20
6,2018-10-21,8,2,6
7,2018-10-22,18,0,18
8,2018-10-23,6,0,6
9,2018-10-24,22,0,22
10,2018-10-25,8,0,8
11,2018-10-26,14,0,14
12,2018-10-27,18,0,18
13,2018-10-28,8,2,6
14,2018-10-29,18,0,18
15,2018-10-30,16,0,16
16,2018-10-31,14,0,14
17,2018-11-01,12,0,12
18,2018-11-02,16,0,16
19,2018-11-03,16,2,14
20,2018-11-04,14,6,8
21,2018-11-05,18,0,18
22,2018-11-06,8,0,8
23,2018-11-07,20,0,20
24,2018-11-08,8,0,8
25,2018-11-09,14,0,14
26,2018-11-10,20,4,16
27,2018-11-11,12,2,10
28,2018-11-12,18,0,18
29,2018-11-13,6,0,6
30,2018-11-14,22,0,22
31,2018-11-15,6,0,6
32,2018-11-16,16,0,16
33,2018-11-17,20,2,18
34,2018-11-18,10,8,2
35,2018-11-19,18,0,18
36,2018-11-20,8,0,8
37,2018-11-21,26,0,26
38,2018-11-23,28,4,24
39,2018-11-24,14,0,14
40,2018-11-25,16,12,4
41,2018-11-26,14,0,14
42,2018-11-27,10,0,10
43,2018-11-28,20,0,20
44,2018-11-29,6,0,6
45,2018-11-30,22,0,22
46,2018-12-01,14,2,12
47,2018-12-02,12,8,4
48,2018-12-03,14,0,14
49,2018-12-04,10,0,10
50,2018-12-05,20,0,20
51,2018-12-06,6,0,6
52,2018-12-07,20,0,20
53,2018-12-08,18,2,16
54,2018-12-09,8,4,4
55,2018-12-10,22,0,22
56,2018-12-11,6,0,6
57,2018-12-12,22,0,22
58,2018-12-13,8,0,8
59,2018-12-14,18,0,18
60,2018-12-15,14,2,12
61,2018-12-16,14,8,6
62,2018-12-17,16,0,16
63,2018-12-18,8,0,8
64,2018-12-19,24,0,24
65,2018-12-20,4,0,4
66,2018-12-21,20,0,20
67,2018-12-22,14,2,12
68,2018-12-23,22,14,8
69,2018-12-25,10,6,4
70,2018-12-26,20,0,20
71,2018-12-27,10,0,10
72,2018-12-28,20,0,20
73,2018-12-29,18,2,16
74,2018-12-30,12,6,6
75,2018-12-31,14,4,10
76,2019-01-01,10,0,10
77,2019-01-02,18,0,18
78,2019-01-03,6,0,6
79,2019-01-04,20,0,20
80,2019-01-05,16,2,14
81,2019-01-06,14,8,6
82,2019-01-07,16,0,16
83,2019-01-08,16,0,16
84,2019-01-09,20,0,20
85,2019-01-10,8,0,8
86,2019-01-11,18,0,18
87,2019-01-12,16,4,12
88,2019-01-13,14,8,6
89,2019-01-14,12,0,12
90,2019-01-15,12,0,12
91,2019-01-16,16,0,16
92,2019-01-17,12,2,10
93,2019-01-18,14,0,14
94,2019-01-19,20,4,16
95,2019-01-20,6,2,4
96,2019-01-21,22,16,6
97,2019-01-22,8,0,8
98,2019-01-23,20,0,20
99,2019-01-24,8,0,8
100,2019-01-25,20,0,20
101,2019-01-26,10,2,8
102,2019-01-27,18,6,12
103,2019-01-28,10,0,10
104,2019-01-29,14,0,14
105,2019-01-30,16,0,16
106,2019-01-31,12,0,12
107,2019-02-01,10,0,10
108,2019-02-02,24,2,22
109,2019-02-03,6,6,0
110,2019-02-04,12,0,12
111,2019-02-05,16,0,16
112,2019-02-06,14,0,14
113,2019-02-07,12,0,12
114,2019-02-08,16,0,16
115,2019-02-09,18,2,16
116,2019-02-10,10,6,4
117,2019-02-11,18,0,18
118,2019-02-12,10,0,10
119,2019-02-13,22,0,22
120,2019-02-14,6,0,6
121,2019-02-21,12,0,12
122,2019-02-22,18,0,18
123,2019-02-23,24,2,22
124,2019-02-24,6,4,2
125,2019-02-25,22,0,22
126,2019-02-26,6,0,6
127,2019-02-27,22,0,22
128,2019-02-28,12,0,12
129,2019-03-01,14,0,14
130,2019-03-02,18,2,16
131,2019-03-03,16,14,2
132,2019-03-04,14,0,14
133,2019-03-05,12,0,12
134,2019-03-06,20,0,20
135,2019-03-07,4,0,4
136,2019-03-08,18,0,18
137,2019-03-09,12,2,10
138,2019-03-10,18,10,8
139,2019-03-11,12,0,12
140,2019-03-12,14,0,14
141,2019-03-13,12,0,12
142,2019-03-14,12,0,12
143,2019-03-15,16,0,16
144,2019-03-16,16,2,14
145,2019-03-17,16,12,4
146,2019-03-18,18,0,18
147,2019-03-19,12,0,12
148,2019-03-20,18,0,18
149,2019-03-21,12,0,12
150,2019-03-22,14,0,14
151,2019-03-23,16,2,14
152,2019-03-24,16,8,8
153,2019-03-25,8,0,8
154,2019-03-26,20,0,20
155,2019-03-27,10,0,10
156,2019-03-28,16,0,16
157,2019-03-29,12,0,12
158,2019-03-30,18,6,12
159,2019-03-31,14,6,8
160,2019-04-01,18,0,18
161,2019-04-02,8,0,8
162,2019-04-03,24,0,24
163,2019-04-04,6,0,6
164,2019-04-05,26,0,26
165,2019-04-06,4,2,2
166,2019-04-07,28,12,16
167,2019-04-09,22,0,22
168,2019-04-10,22,0,22
169,2019-04-13,8,4,4
170,2019-04-14,8,4,4
171,2019-04-15,4,0,4
172,2019-04-16,6,0,6
173,2019-04-17,6,0,6
174,2019-04-18,6,0,6
175,2019-04-19,6,0,6
176,2019-04-20,8,4,4
177,2019-04-21,8,4,4
178,2019-04-22,4,0,4
179,2019-04-23,8,0,8
180,2019-04-24,4,0,4
181,2019-04-25,2,0,2
182,2019-04-26,2,0,2
183,2019-04-27,4,0,4
184,2019-04-28,4,4,0
185,2019-04-29,4,0,4
186,2019-04-30,4,0,4
187,2019-05-01,2,0,2
188,2019-05-02,2,0,2
189,2019-05-03,4,0,4
190,2019-05-04,2,0,2
191,2019-05-05,4,2,2
192,2019-05-06,4,0,4
193,2019-05-07,4,0,4
194,2019-05-08,4,0,4
195,2019-05-09,4,0,4
196,2019-05-10,2,0,2
197,2019-05-12,4,2,2
198,2019-05-14,2,0,2
199,2019-05-15,2,0,2
200,2019-05-16,2,0,2
201,2019-05-17,2,0,2
202,2019-05-18,2,0,2
203,2019-05-19,2,0,2
204,2019-05-20,2,0,2
205,2019-05-21,2,0,2
206,2019-05-23,2,0,2
207,2019-05-25,2,0,2
208,2019-05-30,2,0,2
209,2019-06-02,2,0,2
210,2019-06-05,2,0,2
211,2019-06-07,2,0,2
212,2019-06-10,2,0,2
213,2019-06-13,2,0,2
